city,state
Talwara,Punjab
Tamluk,West Bengal
Tanda,Uttar Pradesh
Tandur,Telangana
Tanuku,Andhra Pradesh
Tarakeswar,West Bengal
Tarana,Madhya Pradesh
Taranagar,Rajasthan
Taraori,Haryana
Tarbha,Odisha
Tarikere,Karnataka
Tarn Taran,Punjab
Tasgaon,Maharashtra
Tehri,Uttarakhand
Tekkalakote,Karnataka
Tenali,Andhra Pradesh
Tenkasi,Tamil Nadu
Tenu dam-cum-Kathhara,Jharkhand
Terdal,Karnataka
Tezpur,Assam
Thakurdwara,Uttar Pradesh
Thammampatti,Tamil Nadu
Thana Bhawan,Uttar Pradesh
Thane,Maharashtra
Thanesar,Haryana
Thangadh,Gujarat
Thanjavur,Tamil Nadu
Tharad,Gujarat
Tharamangalam,Tamil Nadu
Tharangambadi,Tamil Nadu
Theni Allinagaram,Tamil Nadu
Thirumangalam,Tamil Nadu
Thirupuvanam,Tamil Nadu
Thiruthuraipoondi,Tamil Nadu
Thiruvalla,Kerala
Thiruvallur,Tamil Nadu
Thiruvananthapuram,Kerala
Thiruvarur,Tamil Nadu
Thodupuzha,Kerala
Thoubal,Manipur
Thrissur,Kerala
Thuraiyur,Tamil Nadu
Tikamgarh,Madhya Pradesh
Tilda Newra,Chhattisgarh
Tilhar,Uttar Pradesh
Talikota,Karnataka
Tindivanam,Tamil Nadu
Tinsukia,Assam
Tiptur,Karnataka
Tirora,Maharashtra
Tiruchendur,Tamil Nadu
Tiruchengode,Tamil Nadu
Tiruchirappalli,Tamil Nadu
Tirukalukundram,Tamil Nadu
Tirukkoyilur,Tamil Nadu
Tirunelveli,Tamil Nadu
Tirupathur,Tamil Nadu
Tirupathur,Tamil Nadu
Tirupati,Andhra Pradesh
Tiruppur,Tamil Nadu
Tirur,Kerala
Tiruttani,Tamil Nadu
Tiruvannamalai,Tamil Nadu
Tiruvethipuram,Tamil Nadu
Tiruvuru,Andhra Pradesh
Tirwaganj,Uttar Pradesh
Titlagarh,Odisha
Tittakudi,Tamil Nadu
Todabhim,Rajasthan
Todaraisingh,Rajasthan
Tohana,Haryana
Tonk,Rajasthan
Tuensang,Nagaland
Tuljapur,Maharashtra
Tulsipur,Uttar Pradesh
Tumkur,Karnataka
Tumsar,Maharashtra
Tundla,Uttar Pradesh
Tuni,Andhra Pradesh
Tura,Meghalaya
Uchgaon,Maharashtra
Udaipur,Rajasthan
Udaipur,Tripura
Udaipurwati,Rajasthan
Udgir,Maharashtra
Udhagamandalam,Tamil Nadu
Udhampur,Jammu and Kashmir
Udumalaipettai,Tamil Nadu
Udupi,Karnataka
Ujhani,Uttar Pradesh
Ujjain,Madhya Pradesh
Umarga,Maharashtra
Umaria,Madhya Pradesh
Umarkhed,Maharashtra
Umbergaon,Gujarat
Umred,Maharashtra
Umreth,Gujarat
Una,Gujarat
Unjha,Gujarat
Unnamalaikadai,Tamil Nadu
Unnao,Uttar Pradesh
Upleta,Gujarat
Uran,Maharashtra
Uran Islampur,Maharashtra
Uravakonda,Andhra Pradesh
Urmar Tanda,Punjab
Usilampatti,Tamil Nadu
Uthamapalayam,Tamil Nadu
Uthiramerur,Tamil Nadu
Utraula,Uttar Pradesh
Vadakkuvalliyur,Tamil Nadu
Vadalur,Tamil Nadu
Vadgaon Kasba,Maharashtra
Vadipatti,Tamil Nadu
Vadnagar,Gujarat
Vadodara,Gujarat
Vaijapur,Maharashtra
Vaikom,Kerala
Valparai,Tamil Nadu
Valsad,Gujarat
Vandavasi,Tamil Nadu
Vaniyambadi,Tamil Nadu
Vapi,Gujarat
Vapi,Gujarat
Varanasi,Uttar Pradesh
Varkala,Kerala
Vasai-Virar,Maharashtra
Vatakara,Kerala
Vedaranyam,Tamil Nadu
Vellakoil,Tamil Nadu
Vellore,Tamil Nadu
Venkatagiri,Andhra Pradesh
Veraval,Gujarat
Vidisha,Madhya Pradesh
"Vijainagar, Ajmer",Rajasthan
Vijapur,Gujarat
Vijaypur,Madhya Pradesh
Vijayapura,Karnataka
Vijayawada,Andhra Pradesh
Vikarabad,Telangana
Vikramasingapuram,Tamil Nadu
Viluppuram,Tamil Nadu
Vinukonda,Andhra Pradesh
Viramgam,Gujarat
Virudhachalam,Tamil Nadu
Virudhunagar,Tamil Nadu
Visakhapatnam,Andhra Pradesh
Visnagar,Gujarat
Viswanatham,Tamil Nadu
Vita,Maharashtra
Vizianagaram,Andhra Pradesh
Vrindavan,Uttar Pradesh
Vyara,Gujarat
Wadgaon Road,Maharashtra
Wadhwan,Gujarat
Wadi,Karnataka
Wai,Maharashtra
Wanaparthy,Telangana
Wani,Maharashtra
Wankaner,Gujarat
Wara Seoni,Madhya Pradesh
Warangal,Telangana
Wardha,Maharashtra
Warhapur,Uttar Pradesh
Warisaliganj,Bihar
Warora,Maharashtra
Warud,Maharashtra
Washim,Maharashtra
Wokha,Nagaland
Yadgir,Karnataka
Yamunanagar,Haryana
Yanam,Puducherry
Yavatmal,Maharashtra
Yawal,Maharashtra
Yellandu,Telangana
Yemmiganur,Andhra Pradesh
Yerraguntla,Andhra Pradesh
Yevla,Maharashtra
Zaidpur,Uttar Pradesh
Zamania,Uttar Pradesh
Zira,Punjab
Zirakpur,Punjab
Zunheboto,Nagaland
